epoch,train_loss,valid_loss
1,0.3698,0.2899
2,0.1939,0.2302
3,0.1833,0.2389
4,0.1574,0.2004
5,0.1512,0.1973
6,0.1537,0.1768
7,0.1354,0.1657
8,0.1311,0.1604
9,0.1288,0.1526
10,0.1217,0.1498
11,0.1260,0.1484
12,0.1138,0.1446
13,0.1169,0.1315
14,0.1099,0.1326
15,0.1022,0.1263
16,0.1045,0.1219
17,0.0998,0.1130
18,0.0897,0.1156
19,0.0906,0.1132
20,0.0904,0.1085
21,0.0894,0.1122
22,0.0886,0.1029
23,0.0878,0.1016
24,0.0825,0.1008
25,0.0842,0.0966
26,0.0796,0.1030
27,0.0796,0.0974
28,0.0785,0.0922
29,0.0770,0.0930
30,0.0773,0.0906
31,0.0759,0.0912
32,0.0745,0.0856
33,0.0728,0.0864
34,0.0723,0.0858
35,0.0694,0.0820
36,0.0696,0.0817
37,0.0703,0.0815
38,0.0735,0.0801
39,0.0681,0.0805
40,0.0706,0.0879
41,0.0690,0.0800
42,0.0689,0.0804
43,0.0656,0.0784
44,0.0660,0.0754
45,0.0630,0.0756
46,0.0639,0.0774
47,0.0622,0.0732
48,0.0625,0.0738
49,0.0665,0.0752
50,0.0620,0.0710
51,0.0604,0.0710
52,0.0603,0.0702
53,0.0603,0.0696
54,0.0612,0.0709
55,0.0587,0.0684
56,0.0591,0.0680
57,0.0578,0.0684
58,0.0583,0.0669
59,0.0562,0.0677
60,0.0558,0.0650
61,0.0561,0.0666
62,0.0593,0.0646
63,0.0560,0.0649
64,0.0550,0.0627
65,0.0529,0.0637
66,0.0548,0.0638
67,0.0532,0.0641
68,0.0528,0.0625
69,0.0534,0.0612
70,0.0524,0.0610
71,0.0526,0.0614
72,0.0518,0.0621
73,0.0513,0.0607
74,0.0507,0.0595
75,0.0513,0.0612
76,0.0505,0.0605
77,0.0513,0.0624
78,0.0515,0.0617
79,0.0521,0.0589
80,0.0508,0.0596
81,0.0503,0.0589
82,0.0488,0.0581
83,0.0493,0.0585
84,0.0496,0.0574
85,0.0476,0.0574
86,0.0487,0.0566
87,0.0481,0.0574
88,0.0482,0.0553
89,0.0472,0.0572
90,0.0482,0.0554
91,0.0469,0.0569
92,0.0475,0.0549
93,0.0465,0.0572
94,0.0462,0.0552
95,0.0457,0.0565
96,0.0470,0.0549
97,0.0462,0.0549
98,0.0473,0.0535
99,0.0471,0.0543
100,0.0456,0.0527
101,0.0458,0.0528
102,0.0454,0.0541
103,0.0463,0.0568
104,0.0473,0.0531
105,0.0446,0.0515
106,0.0454,0.0517
107,0.0442,0.0524
108,0.0445,0.0526
109,0.0441,0.0536
110,0.0456,0.0524
111,0.0429,0.0522
112,0.0436,0.0502
113,0.0423,0.0512
114,0.0429,0.0497
115,0.0433,0.0520
116,0.0432,0.0498
117,0.0424,0.0516
118,0.0436,0.0501
119,0.0429,0.0501
120,0.0422,0.0518
121,0.0434,0.0510
122,0.0420,0.0487
123,0.0415,0.0488
124,0.0430,0.0485
125,0.0412,0.0492
126,0.0419,0.0480
127,0.0410,0.0478
128,0.0408,0.0480
129,0.0426,0.0478
130,0.0418,0.0486
131,0.0407,0.0473
132,0.0412,0.0473
133,0.0406,0.0469
134,0.0401,0.0477
135,0.0402,0.0472
136,0.0398,0.0471
137,0.0404,0.0471
138,0.0400,0.0474
139,0.0398,0.0469
140,0.0405,0.0467
141,0.0400,0.0471
142,0.0401,0.0486
143,0.0399,0.0465
144,0.0402,0.0459
145,0.0386,0.0458
146,0.0394,0.0474
147,0.0385,0.0457
