epoch,train_loss,valid_loss
1,0.3988,0.2687
2,0.2103,0.2371
3,0.1983,0.2132
4,0.1700,0.1996
5,0.1628,0.1971
6,0.1530,0.1760
7,0.1494,0.1701
8,0.1433,0.1661
9,0.1484,0.1628
10,0.1331,0.1540
11,0.1257,0.1465
12,0.1238,0.1401
13,0.1134,0.1380
14,0.1166,0.1382
15,0.1123,0.1308
16,0.1064,0.1248
17,0.1051,0.1240
18,0.1080,0.1328
19,0.1038,0.1306
20,0.1032,0.1179
21,0.1055,0.1186
22,0.1007,0.1180
23,0.0996,0.1131
24,0.0926,0.1113
25,0.0930,0.1123
26,0.0911,0.1066
27,0.0902,0.1075
28,0.0907,0.1016
29,0.0819,0.1002
30,0.0847,0.0994
31,0.0801,0.1027
32,0.0831,0.0979
33,0.0838,0.0939
34,0.0762,0.0940
35,0.0804,0.0993
36,0.0797,0.0903
37,0.0781,0.0928
38,0.0788,0.0923
39,0.0747,0.0892
40,0.0739,0.0873
41,0.0754,0.0928
42,0.0764,0.0873
43,0.0735,0.0863
44,0.0729,0.0841
45,0.0727,0.0850
46,0.0722,0.0846
47,0.0740,0.0831
48,0.0693,0.0822
49,0.0693,0.0851
50,0.0679,0.0796
51,0.0712,0.0807
52,0.0658,0.0792
53,0.0655,0.0789
54,0.0657,0.0776
55,0.0671,0.0782
56,0.0661,0.0804
57,0.0648,0.0755
58,0.0640,0.0759
59,0.0628,0.0765
60,0.0621,0.0749
61,0.0627,0.0782
62,0.0636,0.0708
63,0.0611,0.0742
64,0.0628,0.0807
65,0.0632,0.0746
66,0.0623,0.0738
67,0.0608,0.0755
68,0.0609,0.0735
69,0.0598,0.0736
70,0.0585,0.0694
71,0.0617,0.0687
72,0.0599,0.0690
73,0.0574,0.0677
74,0.0570,0.0672
75,0.0578,0.0658
76,0.0579,0.0659
77,0.0568,0.0706
78,0.0548,0.0676
79,0.0563,0.0641
80,0.0548,0.0638
81,0.0550,0.0666
82,0.0560,0.0656
83,0.0556,0.0639
84,0.0554,0.0654
85,0.0541,0.0651
86,0.0538,0.0646
87,0.0544,0.0628
88,0.0527,0.0625
89,0.0545,0.0613
90,0.0542,0.0628
91,0.0545,0.0624
92,0.0523,0.0621
93,0.0534,0.0648
94,0.0516,0.0608
95,0.0521,0.0655
96,0.0527,0.0658
97,0.0514,0.0626
98,0.0509,0.0624
99,0.0505,0.0615
133,0.0446,0.0525
134,0.0455,0.0530
135,0.0452,0.0538
136,0.0457,0.0516
137,0.0457,0.0529
138,0.0451,0.0513
139,0.0448,0.0526
140,0.0445,0.0504
141,0.0445,0.0503
142,0.0452,0.0519
143,0.0439,0.0534
144,0.0446,0.0500
145,0.0450,0.0621
146,0.0467,0.0532
147,0.0431,0.0511
148,0.0439,0.0518
149,0.0437,0.0507
150,0.0434,0.0539
151,0.0427,0.0484
152,0.0419,0.0491
153,0.0425,0.0503
154,0.0440,0.0517
155,0.0428,0.0487
156,0.0432,0.0523
157,0.0426,0.0499
158,0.0432,0.0504
159,0.0426,0.0503
160,0.0417,0.0493
161,0.0439,0.0492
162,0.0428,0.0487
163,0.0419,0.0491
164,0.0432,0.0490
165,0.0424,0.0485
166,0.0422,0.0492
167,0.0414,0.0471
168,0.0417,0.0504
169,0.0418,0.0464
170,0.0404,0.0469
171,0.0414,0.0485
172,0.0416,0.0485
173,0.0413,0.0483
174,0.0407,0.0480
175,0.0429,0.0476
176,0.0406,0.0497
177,0.0414,0.0476
178,0.0408,0.0461
179,0.0391,0.0462
180,0.0403,0.0469
181,0.0404,0.0469
182,0.0410,0.0455
183,0.0397,0.0474
184,0.0407,0.0457
185,0.0403,0.0462
186,0.0393,0.0454
187,0.0389,0.0467
188,0.0389,0.0467
189,0.0393,0.0485
190,0.0397,0.0496
191,0.0387,0.0455
192,0.0395,0.0477
193,0.0397,0.0461
194,0.0385,0.0458
195,0.0401,0.0449
196,0.0389,0.0479
197,0.0392,0.0442
198,0.0382,0.0465
199,0.0402,0.0459
200,0.0384,0.0479
201,0.0388,0.0445
202,0.0381,0.0451
203,0.0383,0.0459
204,0.0383,0.0441
205,0.0387,0.0460
206,0.0375,0.0436
207,0.0386,0.0456
208,0.0389,0.0447
209,0.0374,0.0444
210,0.0386,0.0432
211,0.0387,0.0438
212,0.0389,0.0465
213,0.0384,0.0434
214,0.0385,0.0428
