epoch,train_loss,valid_loss
1,0.7311,0.7128
2,0.5704,0.6830
3,0.5535,0.6749
4,0.5544,0.6744
5,0.5487,0.6698
6,0.5428,0.6673
7,0.5417,0.6661
8,0.5399,0.6774
9,0.5389,0.6746
10,0.5358,0.6674
11,0.5361,0.6685
12,0.5413,0.6698
13,0.5406,0.6639
14,0.5346,0.6632
15,0.5375,0.6616
16,0.5365,0.6612
17,0.5389,0.6595
18,0.5356,0.6597
19,0.5352,0.6585
20,0.5338,0.6597
21,0.5357,0.6621
22,0.5343,0.6573
23,0.5336,0.6608
24,0.5327,0.6604
25,0.5357,0.6601
26,0.5347,0.6578
27,0.5353,0.6566
28,0.5297,0.6592
29,0.5353,0.6601
30,0.5354,0.6643
31,0.5329,0.6567
32,0.5285,0.6611
33,0.5300,0.6596
34,0.5291,0.6555
35,0.5345,0.6554
36,0.5353,0.6569
37,0.5285,0.6576
38,0.5350,0.6573
39,0.5355,0.6584
40,0.5314,0.6595
41,0.5285,0.6551
42,0.5330,0.6586
43,0.5312,0.6577
44,0.5256,0.6545
45,0.5323,0.6600
46,0.5313,0.6656
47,0.5290,0.6560
48,0.5300,0.6531
49,0.5312,0.6549
50,0.5288,0.6549
51,0.5348,0.6568
52,0.5290,0.6573
53,0.5319,0.6545
54,0.5315,0.6586
55,0.5312,0.6553
56,0.5293,0.6566
57,0.5330,0.6612
58,0.5324,0.6648
59,0.5323,0.6568
60,0.5272,0.6625
61,0.5278,0.6573
62,0.5342,0.6588
63,0.5268,0.6587
64,0.5331,0.6590
65,0.5309,0.6587
66,0.5289,0.6598
67,0.5298,0.6563
68,0.5315,0.6563
69,0.5297,0.6562
70,0.5274,0.6570
71,0.5317,0.6584
72,0.5298,0.6554
73,0.5309,0.6561
74,0.5318,0.6555
75,0.5340,0.6612
76,0.5298,0.6581
77,0.5287,0.6564
78,0.5262,0.6610
79,0.5298,0.6567
80,0.5243,0.6611
81,0.5292,0.6545
82,0.5281,0.6551
83,0.5264,0.6525
84,0.5267,0.6558
85,0.5287,0.6549
86,0.5298,0.6575
87,0.5274,0.6554
88,0.5290,0.6589
89,0.5284,0.6627
90,0.5299,0.6581
91,0.5304,0.6553
92,0.5300,0.6554
93,0.5289,0.6590
94,0.5277,0.6597
95,0.5250,0.6565
96,0.5301,0.6555
97,0.5262,0.6583
98,0.5287,0.6541
99,0.5282,0.6549
100,0.5307,0.6557
101,0.5273,0.6560
102,0.5315,0.6574
103,0.5266,0.6556
104,0.5269,0.6583
105,0.5315,0.6566
106,0.5256,0.6581
107,0.5278,0.6560
108,0.5300,0.6542
109,0.5295,0.6574
110,0.5309,0.6578
111,0.5248,0.6585
112,0.5303,0.6551
113,0.5277,0.6569
114,0.5345,0.6556
115,0.5268,0.6631
116,0.5282,0.6552
117,0.5272,0.6620
118,0.5271,0.6561
119,0.5281,0.6581
120,0.5303,0.6544
121,0.5272,0.6561
122,0.5253,0.6575
123,0.5298,0.6543
124,0.5284,0.6543
125,0.5322,0.6555
126,0.5270,0.6556
127,0.5292,0.6557
128,0.5324,0.6550
129,0.5290,0.6576
130,0.5273,0.6545
131,0.5279,0.6593
132,0.5316,0.6577
133,0.5278,0.6586
134,0.5292,0.6560
135,0.5293,0.6566
136,0.5264,0.6550
137,0.5309,0.6578
138,0.5316,0.6569
139,0.5294,0.6560
140,0.5284,0.6546
141,0.5313,0.6569
142,0.5302,0.6577
143,0.5302,0.6531
144,0.5292,0.6561
145,0.5246,0.6546
146,0.5297,0.6573
147,0.5283,0.6559
148,0.5300,0.6561
149,0.5247,0.6555
150,0.5293,0.6559
151,0.5277,0.6547
152,0.5259,0.6565
153,0.5280,0.6535
154,0.5270,0.6555
155,0.5284,0.6546
156,0.5269,0.6544
157,0.5290,0.6530
158,0.5262,0.6557
159,0.5293,0.6556
160,0.5310,0.6604
161,0.5220,0.6547
162,0.5266,0.6561
163,0.5258,0.6590
164,0.5298,0.6570
165,0.5284,0.6540
166,0.5278,0.6542
