epoch,train_loss,valid_loss
1,0.3632,0.2622
2,0.2021,0.2270
3,0.1963,0.2065
4,0.1654,0.1899
5,0.1504,0.1733
6,0.1430,0.1589
7,0.1410,0.1529
8,0.1332,0.1517
9,0.1243,0.1388
10,0.1260,0.1407
11,0.1177,0.1290
12,0.1159,0.1268
13,0.1143,0.1239
14,0.1123,0.1203
15,0.1047,0.1141
16,0.1032,0.1137
17,0.1007,0.1103
18,0.0928,0.1052
19,0.0879,0.1010
20,0.0946,0.1064
21,0.0899,0.1035
22,0.0904,0.0991
23,0.0830,0.0931
24,0.0849,0.0932
25,0.0815,0.0917
26,0.0810,0.0926
27,0.0788,0.0916
28,0.0796,0.0886
29,0.0742,0.0870
30,0.0756,0.0847
31,0.0732,0.0848
32,0.0753,0.0828
33,0.0753,0.0828
34,0.0709,0.0795
35,0.0702,0.0827
36,0.0769,0.0823
37,0.0700,0.0790
38,0.0735,0.0759
39,0.0704,0.0774
40,0.0661,0.0750
41,0.0654,0.0743
42,0.0664,0.0760
43,0.0639,0.0742
44,0.0628,0.0735
45,0.0649,0.0732
46,0.0629,0.0741
47,0.0626,0.0703
48,0.0624,0.0691
49,0.0615,0.0684
50,0.0592,0.0680
51,0.0617,0.0666
52,0.0595,0.0694
53,0.0596,0.0663
54,0.0591,0.0681
55,0.0578,0.0688
56,0.0583,0.0665
57,0.0580,0.0645
58,0.0565,0.0664
59,0.0572,0.0649
60,0.0558,0.0645
61,0.0551,0.0628
62,0.0556,0.0620
63,0.0555,0.0619
64,0.0542,0.0630
65,0.0544,0.0612
66,0.0539,0.0627
67,0.0529,0.0616
68,0.0522,0.0590
69,0.0534,0.0596
70,0.0521,0.0599
71,0.0531,0.0584
72,0.0525,0.0587
73,0.0526,0.0605
74,0.0531,0.0581
75,0.0508,0.0577
76,0.0511,0.0597
77,0.0513,0.0592
78,0.0536,0.0567
79,0.0494,0.0571
80,0.0493,0.0575
81,0.0497,0.0560
82,0.0487,0.0573
83,0.0480,0.0579
84,0.0493,0.0565
85,0.0484,0.0542
86,0.0476,0.0545
87,0.0483,0.0552
88,0.0478,0.0537
89,0.0473,0.0527
90,0.0480,0.0525
91,0.0472,0.0529
92,0.0478,0.0524
93,0.0457,0.0524
94,0.0476,0.0536
95,0.0481,0.0523
96,0.0470,0.0528
97,0.0454,0.0516
98,0.0454,0.0505
99,0.0447,0.0507
100,0.0440,0.0503
101,0.0452,0.0512
102,0.0444,0.0512
103,0.0466,0.0515
104,0.0443,0.0508
105,0.0444,0.0502
106,0.0434,0.0501
107,0.0428,0.0491
108,0.0441,0.0500
109,0.0435,0.0488
110,0.0431,0.0500
111,0.0419,0.0480
112,0.0433,0.0504
113,0.0431,0.0484
114,0.0425,0.0481
115,0.0431,0.0474
116,0.0414,0.0480
117,0.0422,0.0483
118,0.0416,0.0480
119,0.0440,0.0488
120,0.0430,0.0488
121,0.0416,0.0479
122,0.0416,0.0475
123,0.0415,0.0467
124,0.0428,0.0471
125,0.0437,0.0465
126,0.0422,0.0467
127,0.0413,0.0467
92,0.0478,0.0542
93,0.0469,0.0526
94,0.0467,0.0531
95,0.0460,0.0521
96,0.0453,0.0537
97,0.0448,0.0513
98,0.0464,0.0508
99,0.0454,0.0519
100,0.0444,0.0507
101,0.0458,0.0526
102,0.0442,0.0518
103,0.0450,0.0526
104,0.0436,0.0499
105,0.0438,0.0498
106,0.0442,0.0500
107,0.0428,0.0496
108,0.0425,0.0494
109,0.0434,0.0491
110,0.0432,0.0493
