epoch,train_loss,valid_loss
1,0.3680,0.2652
2,0.1877,0.2211
3,0.1672,0.2050
4,0.1812,0.2075
5,0.1597,0.1756
6,0.1373,0.1599
7,0.1422,0.1508
8,0.1318,0.1463
9,0.1236,0.1408
10,0.1210,0.1360
11,0.1200,0.1294
12,0.1183,0.1295
13,0.1107,0.1215
14,0.1101,0.1229
15,0.1093,0.1183
16,0.0995,0.1148
17,0.1011,0.1108
18,0.0936,0.1087
19,0.0959,0.1082
20,0.0932,0.1043
21,0.0899,0.1036
22,0.0933,0.1016
23,0.0854,0.0994
24,0.0857,0.1013
25,0.0847,0.0941
26,0.0799,0.0974
27,0.0789,0.0913
28,0.0790,0.0909
29,0.0780,0.0930
30,0.0765,0.0885
31,0.0759,0.0878
32,0.0720,0.0848
33,0.0722,0.0848
34,0.0720,0.0840
35,0.0699,0.0837
36,0.0688,0.0800
37,0.0661,0.0794
38,0.0680,0.0827
39,0.0672,0.0773
40,0.0646,0.0765
41,0.0640,0.0780
42,0.0632,0.0760
43,0.0612,0.0738
44,0.0619,0.0731
45,0.0614,0.0732
46,0.0615,0.0725
47,0.0605,0.0711
48,0.0586,0.0694
49,0.0587,0.0686
50,0.0589,0.0692
51,0.0604,0.0681
52,0.0587,0.0683
53,0.0573,0.0675
54,0.0572,0.0721
55,0.0608,0.0653
56,0.0569,0.0661
57,0.0565,0.0660
58,0.0566,0.0644
59,0.0548,0.0688
60,0.0553,0.0649
61,0.0544,0.0635
62,0.0536,0.0627
63,0.0525,0.0620
64,0.0530,0.0627
65,0.0529,0.0647
66,0.0553,0.0623
67,0.0542,0.0618
68,0.0515,0.0610
69,0.0509,0.0598
70,0.0523,0.0596
71,0.0515,0.0591
72,0.0495,0.0597
73,0.0494,0.0595
74,0.0495,0.0579
75,0.0492,0.0567
76,0.0491,0.0570
77,0.0487,0.0562
78,0.0495,0.0573
79,0.0488,0.0568
80,0.0478,0.0571
81,0.0505,0.0573
82,0.0504,0.0550
83,0.0472,0.0547
84,0.0484,0.0569
85,0.0486,0.0553
86,0.0485,0.0542
87,0.0488,0.0547
88,0.0460,0.0543
89,0.0475,0.0548
90,0.0455,0.0537
91,0.0460,0.0536
92,0.0458,0.0554
93,0.0461,0.0555
94,0.0460,0.0526
95,0.0456,0.0531
96,0.0450,0.0525
97,0.0448,0.0526
98,0.0440,0.0516
99,0.0434,0.0518
100,0.0449,0.0527
101,0.0450,0.0521
102,0.0431,0.0513
103,0.0435,0.0509
104,0.0432,0.0494
105,0.0423,0.0498
106,0.0431,0.0504
107,0.0425,0.0494
108,0.0429,0.0511
109,0.0425,0.0499
110,0.0427,0.0499
111,0.0422,0.0508
112,0.0425,0.0483
113,0.0423,0.0488
114,0.0409,0.0486
115,0.0413,0.0488
116,0.0412,0.0477
117,0.0418,0.0479
118,0.0419,0.0476
119,0.0416,0.0481
120,0.0410,0.0473
121,0.0403,0.0473
122,0.0406,0.0483
123,0.0409,0.0486
124,0.0406,0.0473
125,0.0406,0.0468
126,0.0410,0.0479
127,0.0408,0.0478
128,0.0398,0.0462
129,0.0394,0.0463
130,0.0393,0.0453
131,0.0401,0.0458
132,0.0397,0.0451
133,0.0403,0.0470
134,0.0396,0.0452
135,0.0394,0.0444
136,0.0382,0.0456
137,0.0381,0.0448
138,0.0387,0.0461
139,0.0398,0.0454
140,0.0384,0.0446
141,0.0392,0.0454
142,0.0391,0.0447
143,0.0378,0.0448
144,0.0382,0.0440
145,0.0373,0.0448
146,0.0378,0.0445
147,0.0387,0.0462
148,0.0380,0.0440
149,0.0375,0.0429
150,0.0377,0.0440
151,0.0364,0.0441
152,0.0374,0.0436
153,0.0364,0.0440
154,0.0374,0.0432
155,0.0376,0.0436
156,0.0373,0.0429
157,0.0368,0.0424
158,0.0369,0.0426
159,0.0370,0.0422
160,0.0376,0.0440
161,0.0368,0.0420
162,0.0358,0.0429
163,0.0363,0.0417
164,0.0360,0.0423
165,0.0360,0.0417
166,0.0362,0.0417
167,0.0353,0.0419
168,0.0348,0.0425
169,0.0359,0.0411
170,0.0350,0.0411
171,0.0363,0.0413
172,0.0354,0.0406
173,0.0347,0.0414
