epoch,train_loss,valid_loss
1,1.2120,1.1035
2,0.9823,1.0508
3,0.9692,1.0066
4,0.9790,0.9778
5,0.9538,0.9624
6,0.9301,1.0114
7,0.9241,0.9522
8,0.9225,1.0123
9,0.9194,0.9770
10,0.9253,0.9982
11,0.9232,0.9154
12,0.9208,0.9613
13,0.9202,0.9772
14,0.9269,0.9453
15,0.9161,0.9765
16,0.9097,0.9964
17,0.9141,0.9850
18,0.9082,0.9351
19,0.9184,0.9547
20,0.9061,0.9251
21,0.9117,0.9577
22,0.9102,0.9522
23,0.9026,0.9434
24,0.9002,0.9361
25,0.9046,0.9726
26,0.9000,0.9364
27,0.8970,0.9578
28,0.9075,0.9407
29,0.8992,0.9507
30,0.9064,0.9630
31,0.8985,0.9555
32,0.8955,0.9425
33,0.8956,0.9296
34,0.8987,0.9331
35,0.9008,0.9486
36,0.9041,0.9338
37,0.8948,0.9105
38,0.8925,0.9557
39,0.9105,0.9148
40,0.8894,0.9548
41,0.8830,0.9434
42,0.9080,0.9249
43,0.9015,0.9724
44,0.8992,0.9336
45,0.8966,0.9576
46,0.8902,0.9203
47,0.8923,0.9124
48,0.8925,0.9254
49,0.8905,0.9391
50,0.8896,0.9195
51,0.8805,0.9292
52,0.8925,0.9705
53,0.9013,0.9431
54,0.8908,0.9344
55,0.8972,0.9359
56,0.8849,0.9341
57,0.8948,0.9766
58,0.8879,0.9584
59,0.8838,0.9497
60,0.9017,0.9336
61,0.8917,0.9400
62,0.8843,0.9249
63,0.8899,0.9489
64,0.8834,0.9234
65,0.8879,0.9276
66,0.8851,0.9220
67,0.8875,0.9014
68,0.8757,0.9307
69,0.8844,0.9199
70,0.8817,0.9245
71,0.8805,0.9269
72,0.8853,0.9366
73,0.8946,0.9193
74,0.8926,0.9288
75,0.8879,0.9180
76,0.8866,0.9352
77,0.8889,0.9348
78,0.8868,0.9278
79,0.8945,0.9251
80,0.8830,0.9589
81,0.8972,0.9118
82,0.8906,0.9368
83,0.8987,0.9097
84,0.8883,0.9336
85,0.8875,0.9219
86,0.9008,0.9078
87,0.8753,0.9314
88,0.8880,0.9095
89,0.8961,0.9117
90,0.8866,0.9204
91,0.8905,0.9157
92,0.8884,0.9419
93,0.8796,0.9148
94,0.8845,0.9306
95,0.8826,0.9208
96,0.8833,0.9419
97,0.8841,0.9117
98,0.8874,0.9001
99,0.8804,0.9032
100,0.8880,0.9135
101,0.8840,0.8988
102,0.8829,0.9320
103,0.8891,0.9098
104,0.8839,0.9218
105,0.8902,0.9102
106,0.8836,0.9302
107,0.8768,0.9208
108,0.8831,0.9013
109,0.8920,0.9042
110,0.8892,0.9182
111,0.8843,0.9169
112,0.8792,0.9293
113,0.8784,0.9264
114,0.8888,0.9123
115,0.8781,0.9456
116,0.8724,0.9126
117,0.8895,0.9124
118,0.8909,0.9263
119,0.8793,0.9546
120,0.8735,0.9387
121,0.8796,0.9429
122,0.8767,0.9265
123,0.8815,0.9412
124,0.8937,0.9055
125,0.8837,0.9244
126,0.8783,0.9367
127,0.8846,0.9269
128,0.8779,0.9222
129,0.8861,0.9154
130,0.8803,0.9651
131,0.8904,0.9363
132,0.8755,0.9213
133,0.8836,0.9223
134,0.8837,0.9197
135,0.8801,0.9275
136,0.8789,0.9298
137,0.8899,0.9238
138,0.8824,0.9180
139,0.8799,0.8918
140,0.8950,0.9357
141,0.8792,0.9092
142,0.8857,0.9198
143,0.8841,0.9130
144,0.8841,0.9010
145,0.8810,0.9049
146,0.8845,0.9218
147,0.8756,0.9183
148,0.8689,0.9128
149,0.8857,0.9329
150,0.8838,0.9306
151,0.8775,0.9083
152,0.8841,0.9115
153,0.8878,0.9270
154,0.8808,0.9176
155,0.8894,0.9149
156,0.8762,0.9139
157,0.8772,0.9193
158,0.8834,0.9187
159,0.8890,0.9303
160,0.8776,0.9261
161,0.8742,0.9091
162,0.8772,0.9122
163,0.8788,0.9324
164,0.8781,0.9212
165,0.8920,0.9304
166,0.8726,0.9241
167,0.8823,0.9036
