epoch,train_loss,valid_loss
1,0.7306,0.7003
2,0.5674,0.6800
3,0.5536,0.6742
4,0.5496,0.6722
5,0.5447,0.6681
6,0.5429,0.6685
7,0.5408,0.6623
8,0.5427,0.6696
9,0.5382,0.6628
10,0.5380,0.6615
11,0.5370,0.6610
12,0.5388,0.6571
13,0.5356,0.6566
14,0.5370,0.6578
15,0.5355,0.6557
16,0.5344,0.6542
17,0.5328,0.6559
18,0.5333,0.6583
19,0.5363,0.6586
20,0.5345,0.6545
21,0.5348,0.6542
22,0.5377,0.6514
23,0.5319,0.6523
24,0.5282,0.6540
25,0.5356,0.6524
26,0.5335,0.6488
27,0.5321,0.6514
28,0.5336,0.6518
29,0.5286,0.6553
30,0.5311,0.6525
31,0.5329,0.6522
32,0.5339,0.6498
33,0.5336,0.6488
34,0.5318,0.6540
35,0.5308,0.6525
36,0.5299,0.6505
37,0.5319,0.6479
38,0.5280,0.6514
39,0.5325,0.6459
40,0.5330,0.6479
41,0.5276,0.6500
42,0.5318,0.6510
43,0.5312,0.6483
44,0.5335,0.6506
45,0.5290,0.6514
46,0.5302,0.6473
47,0.5314,0.6476
48,0.5324,0.6485
49,0.5312,0.6507
50,0.5323,0.6524
51,0.5330,0.6474
52,0.5289,0.6467
53,0.5330,0.6521
54,0.5310,0.6499
55,0.5313,0.6480
56,0.5335,0.6493
57,0.5361,0.6469
58,0.5315,0.6490
59,0.5307,0.6478
60,0.5324,0.6460
61,0.5282,0.6484
62,0.5303,0.6465
63,0.5322,0.6464
64,0.5275,0.6504
65,0.5298,0.6472
66,0.5276,0.6501
67,0.5296,0.6472
68,0.5301,0.6481
69,0.5261,0.6470
70,0.5312,0.6480
71,0.5300,0.6455
72,0.5307,0.6451
73,0.5295,0.6462
74,0.5293,0.6444
75,0.5263,0.6474
76,0.5306,0.6457
77,0.5332,0.6492
78,0.5285,0.6481
79,0.5302,0.6438
80,0.5283,0.6459
81,0.5279,0.6480
82,0.5311,0.6449
83,0.5303,0.6457
84,0.5280,0.6472
85,0.5280,0.6460
86,0.5259,0.6456
87,0.5306,0.6465
88,0.5302,0.6446
89,0.5298,0.6439
90,0.5308,0.6466
91,0.5306,0.6461
92,0.5317,0.6465
93,0.5275,0.6453
94,0.5298,0.6439
95,0.5303,0.6493
96,0.5274,0.6466
97,0.5281,0.6459
98,0.5264,0.6454
99,0.5283,0.6448
100,0.5277,0.6448
101,0.5297,0.6483
102,0.5285,0.6467
103,0.5271,0.6527
104,0.5258,0.6466
105,0.5299,0.6452
106,0.5302,0.6458
107,0.5261,0.6450
108,0.5265,0.6491
109,0.5283,0.6482
110,0.5273,0.6464
111,0.5259,0.6464
112,0.5286,0.6458
113,0.5273,0.6458
114,0.5259,0.6454
115,0.5297,0.6453
116,0.5316,0.6479
117,0.5276,0.6437
118,0.5276,0.6463
119,0.5282,0.6469
120,0.5290,0.6449
121,0.5264,0.6446
122,0.5244,0.6464
123,0.5266,0.6451
124,0.5281,0.6460
125,0.5309,0.6447
126,0.5266,0.6445
127,0.5320,0.6470
128,0.5296,0.6444
129,0.5269,0.6440
130,0.5282,0.6455
131,0.5338,0.6448
132,0.5267,0.6475
133,0.5272,0.6445
134,0.5282,0.6451
135,0.5256,0.6456
136,0.5293,0.6470
137,0.5284,0.6439
138,0.5269,0.6459
139,0.5300,0.6453
140,0.5298,0.6459
141,0.5282,0.6441
142,0.5271,0.6452
143,0.5260,0.6444
144,0.5303,0.6451
145,0.5264,0.6445
146,0.5294,0.6442
147,0.5266,0.6455
148,0.5297,0.6469
149,0.5271,0.6451
150,0.5288,0.6453
151,0.5263,0.6446
152,0.5278,0.6477
153,0.5305,0.6457
154,0.5290,0.6439
155,0.5302,0.6449
156,0.5265,0.6453
157,0.5263,0.6448
158,0.5270,0.6450
159,0.5279,0.6431
160,0.5266,0.6447
161,0.5301,0.6444
162,0.5286,0.6449
163,0.5243,0.6448
164,0.5276,0.6469
165,0.5283,0.6459
166,0.5293,0.6443
167,0.5275,0.6455
168,0.5294,0.6449
169,0.5246,0.6457
170,0.5287,0.6459
171,0.5273,0.6446
172,0.5265,0.6461
173,0.5250,0.6452
174,0.5279,0.6434
175,0.5275,0.6451
176,0.5267,0.6446
177,0.5274,0.6453
178,0.5319,0.6475
179,0.5284,0.6468
180,0.5270,0.6442
