epoch,train_loss,valid_loss
1,0.4073,0.2763
2,0.2163,0.2414
3,0.1940,0.2203
4,0.1748,0.2071
5,0.1699,0.2004
6,0.1708,0.1930
7,0.1685,0.1996
8,0.1535,0.1892
9,0.1540,0.1776
10,0.1407,0.1854
11,0.1497,0.1714
12,0.1398,0.1715
13,0.1408,0.1596
14,0.1371,0.1631
15,0.1287,0.1599
16,0.1332,0.1563
17,0.1257,0.1451
18,0.1212,0.1515
19,0.1234,0.1483
20,0.1231,0.1369
21,0.1136,0.1354
22,0.1130,0.1335
23,0.1210,0.1403
24,0.1203,0.1292
25,0.1107,0.1362
26,0.1120,0.1260
27,0.1091,0.1274
28,0.1123,0.1229
29,0.1074,0.1293
30,0.1068,0.1261
31,0.1050,0.1203
32,0.1003,0.1169
33,0.0999,0.1167
34,0.0974,0.1169
35,0.0980,0.1127
36,0.0965,0.1104
37,0.0937,0.1088
38,0.0984,0.1069
39,0.0909,0.1063
40,0.0911,0.1053
41,0.0950,0.1103
42,0.0911,0.1056
43,0.0977,0.1039
44,0.0898,0.1029
45,0.0885,0.1023
46,0.0858,0.1005
47,0.0909,0.0990
48,0.0875,0.0998
49,0.0876,0.0999
50,0.0833,0.0997
51,0.0859,0.1088
52,0.0904,0.0988
53,0.0837,0.0978
54,0.0884,0.1014
55,0.0867,0.0964
56,0.0854,0.0967
57,0.0807,0.0954
58,0.0802,0.0924
59,0.0799,0.0944
60,0.0805,0.0954
61,0.0799,0.0894
62,0.0812,0.0912
63,0.0811,0.0912
64,0.0786,0.0909
65,0.0776,0.0894
66,0.0782,0.0877
67,0.0791,0.0981
68,0.0765,0.0873
69,0.0814,0.0941
70,0.0784,0.0878
72,0.0737,0.0852
73,0.0768,0.0833
74,0.0744,0.0835
75,0.0741,0.0832
76,0.0752,0.0838
77,0.0741,0.0843
78,0.0721,0.0824
79,0.0711,0.0830
80,0.0731,0.0808
81,0.0698,0.0833
82,0.0712,0.0820
83,0.0727,0.0824
84,0.0710,0.0800
85,0.0703,0.0795
86,0.0703,0.0816
87,0.0706,0.0789
88,0.0706,0.0808
89,0.0698,0.0775
90,0.0712,0.0780
91,0.0732,0.0839
92,0.0683,0.0798
93,0.0732,0.0773
94,0.0686,0.0780
95,0.0692,0.0765
96,0.0710,0.0785
97,0.0692,0.0856
98,0.0689,0.0761
