epoch,train_loss,valid_loss
1,0.7222,0.6783
2,0.5609,0.6619
3,0.5486,0.6664
4,0.5472,0.6593
5,0.5426,0.6521
6,0.5412,0.6556
7,0.5427,0.6525
8,0.5396,0.6495
9,0.5360,0.6514
10,0.5393,0.6517
11,0.5399,0.6482
12,0.5377,0.6517
13,0.5339,0.6466
14,0.5341,0.6454
15,0.5339,0.6489
16,0.5351,0.6503
17,0.5340,0.6468
18,0.5325,0.6481
19,0.5330,0.6478
20,0.5344,0.6480
21,0.5370,0.6472
22,0.5333,0.6484
23,0.5354,0.6465
24,0.5313,0.6465
25,0.5317,0.6442
26,0.5362,0.6451
27,0.5335,0.6449
28,0.5342,0.6456
29,0.5315,0.6438
30,0.5308,0.6450
31,0.5297,0.6424
32,0.5268,0.6425
33,0.5302,0.6446
34,0.5291,0.6439
35,0.5319,0.6458
36,0.5323,0.6425
37,0.5261,0.6441
38,0.5317,0.6449
39,0.5283,0.6437
40,0.5290,0.6446
41,0.5323,0.6423
42,0.5303,0.6435
43,0.5333,0.6442
44,0.5356,0.6428
45,0.5293,0.6443
46,0.5316,0.6444
47,0.5274,0.6457
48,0.5283,0.6440
49,0.5291,0.6456
50,0.5283,0.6418
51,0.5277,0.6444
52,0.5298,0.6448
53,0.5323,0.6435
54,0.5327,0.6421
55,0.5285,0.6422
56,0.5288,0.6424
57,0.5298,0.6433
58,0.5301,0.6456
59,0.5272,0.6444
60,0.5330,0.6451
61,0.5310,0.6430
62,0.5322,0.6434
63,0.5303,0.6444
64,0.5285,0.6432
65,0.5278,0.6428
66,0.5300,0.6435
67,0.5299,0.6430
68,0.5286,0.6424
69,0.5297,0.6428
70,0.5272,0.6452
71,0.5275,0.6431
72,0.5291,0.6416
73,0.5297,0.6454
74,0.5258,0.6414
75,0.5291,0.6438
76,0.5320,0.6439
77,0.5269,0.6431
78,0.5259,0.6415
79,0.5308,0.6408
80,0.5305,0.6423
81,0.5302,0.6421
82,0.5275,0.6434
83,0.5273,0.6427
84,0.5287,0.6423
85,0.5272,0.6458
86,0.5281,0.6402
87,0.5276,0.6439
88,0.5279,0.6415
89,0.5297,0.6436
90,0.5291,0.6425
91,0.5286,0.6421
92,0.5313,0.6416
93,0.5295,0.6422
94,0.5278,0.6432
95,0.5276,0.6417
96,0.5301,0.6409
97,0.5270,0.6426
98,0.5272,0.6422
99,0.5303,0.6415
100,0.5282,0.6423
101,0.5264,0.6433
102,0.5266,0.6421
103,0.5286,0.6478
104,0.5288,0.6434
105,0.5251,0.6430
106,0.5290,0.6431
107,0.5268,0.6422
108,0.5235,0.6416
109,0.5298,0.6477
110,0.5321,0.6451
111,0.5327,0.6490
112,0.5298,0.6462
113,0.5339,0.6435
114,0.5291,0.6444
115,0.5323,0.6434
116,0.5286,0.6441
117,0.5297,0.6432
118,0.5306,0.6484
119,0.5336,0.6445
120,0.5290,0.6445
121,0.5300,0.6447
122,0.5297,0.6433
123,0.5292,0.6448
124,0.5304,0.6446
125,0.5318,0.6423
126,0.5299,0.6429
127,0.5297,0.6451
