epoch,train_loss,valid_loss
1,0.3732,0.2833
2,0.2069,0.2423
3,0.1777,0.2175
4,0.1584,0.1936
5,0.1559,0.1937
6,0.1531,0.1826
7,0.1465,0.1626
8,0.1364,0.1850
9,0.1320,0.1545
10,0.1240,0.1460
11,0.1285,0.1529
12,0.1167,0.1332
13,0.1120,0.1386
14,0.1051,0.1221
15,0.1084,0.1371
16,0.1027,0.1237
17,0.1027,0.1161
18,0.0991,0.1153
19,0.1021,0.1120
20,0.0958,0.1083
21,0.0918,0.1082
22,0.0940,0.1070
23,0.0898,0.1013
24,0.0895,0.1129
25,0.0914,0.0963
26,0.0839,0.1017
27,0.0861,0.1017
28,0.0843,0.0927
29,0.0818,0.0960
30,0.0793,0.0993
31,0.0795,0.0907
32,0.0790,0.0900
33,0.0784,0.0880
34,0.0774,0.0891
35,0.0752,0.0851
36,0.0712,0.0836
37,0.0730,0.0823
38,0.0718,0.0819
39,0.0716,0.0811
40,0.0710,0.0800
41,0.0719,0.0810
42,0.0692,0.0775
43,0.0688,0.0776
44,0.0686,0.0773
45,0.0651,0.0768
46,0.0689,0.0759
47,0.0637,0.0749
48,0.0658,0.0811
49,0.0647,0.0748
50,0.0643,0.0725
51,0.0630,0.0712
52,0.0615,0.0711
53,0.0658,0.0761
54,0.0643,0.0721
55,0.0622,0.0738
56,0.0618,0.0695
57,0.0607,0.0685
58,0.0612,0.0695
59,0.0591,0.0670
60,0.0575,0.0662
61,0.0594,0.0674
62,0.0588,0.0646
63,0.0572,0.0667
64,0.0564,0.0645
65,0.0575,0.0651
66,0.0558,0.0652
67,0.0574,0.0640
68,0.0551,0.0634
69,0.0562,0.0642
70,0.0555,0.0618
71,0.0535,0.0623
72,0.0553,0.0616
73,0.0538,0.0608
74,0.0539,0.0619
75,0.0533,0.0615
76,0.0549,0.0608
77,0.0531,0.0610
78,0.0534,0.0616
79,0.0531,0.0624
80,0.0531,0.0594
81,0.0515,0.0589
82,0.0523,0.0585
83,0.0514,0.0592
84,0.0518,0.0588
85,0.0510,0.0572
86,0.0506,0.0583
87,0.0521,0.0587
88,0.0513,0.0601
89,0.0514,0.0588
90,0.0488,0.0589
91,0.0497,0.0558
92,0.0520,0.0570
93,0.0489,0.0558
94,0.0496,0.0568
95,0.0487,0.0556
96,0.0491,0.0554
97,0.0502,0.0558
98,0.0478,0.0552
99,0.0479,0.0553
100,0.0480,0.0536
101,0.0477,0.0536
102,0.0458,0.0534
103,0.0487,0.0553
104,0.0488,0.0535
105,0.0469,0.0539
106,0.0478,0.0532
107,0.0460,0.0528
108,0.0466,0.0532
109,0.0466,0.0527
110,0.0456,0.0518
111,0.0454,0.0520
112,0.0453,0.0517
113,0.0441,0.0519
114,0.0466,0.0528
115,0.0457,0.0511
116,0.0461,0.0514
117,0.0454,0.0518
118,0.0452,0.0518
119,0.0452,0.0506
120,0.0446,0.0509
121,0.0441,0.0509
122,0.0441,0.0509
123,0.0450,0.0501
124,0.0441,0.0516
125,0.0448,0.0509
126,0.0433,0.0514
127,0.0431,0.0496
128,0.0435,0.0482
129,0.0427,0.0524
130,0.0427,0.0485
131,0.0432,0.0497
132,0.0425,0.0507
133,0.0432,0.0491
134,0.0427,0.0479
135,0.0421,0.0480
136,0.0424,0.0487
137,0.0430,0.0484
138,0.0428,0.0481
139,0.0436,0.0501
140,0.0443,0.0487
141,0.0419,0.0510
142,0.0427,0.0487
143,0.0438,0.0484
144,0.0412,0.0470
145,0.0419,0.0471
146,0.0416,0.0468
147,0.0419,0.0476
148,0.0410,0.0475
149,0.0425,0.0479
150,0.0416,0.0467
151,0.0419,0.0462
152,0.0411,0.0460
153,0.0414,0.0461
154,0.0423,0.0464
155,0.0398,0.0469
156,0.0405,0.0451
157,0.0407,0.0468
158,0.0401,0.0452
159,0.0398,0.0464
160,0.0397,0.0462
161,0.0405,0.0452
162,0.0396,0.0449
163,0.0391,0.0448
164,0.0401,0.0471
165,0.0398,0.0445
166,0.0396,0.0445
167,0.0386,0.0468
168,0.0394,0.0445
169,0.0398,0.0448
170,0.0391,0.0449
171,0.0388,0.0446
172,0.0380,0.0448
173,0.0384,0.0434
174,0.0395,0.0442
175,0.0381,0.0435
176,0.0397,0.0447
177,0.0376,0.0452
178,0.0382,0.0438
179,0.0382,0.0439
180,0.0380,0.0441
181,0.0392,0.0432
182,0.0390,0.0436
183,0.0398,0.0431
184,0.0378,0.0433
185,0.0384,0.0470
186,0.0389,0.0424
187,0.0377,0.0455
188,0.0381,0.0424
189,0.0372,0.0450
190,0.0392,0.0440
191,0.0387,0.0421
192,0.0373,0.0421
193,0.0379,0.0449
194,0.0381,0.0434
195,0.0368,0.0423
196,0.0369,0.0421
197,0.0373,0.0421
198,0.0367,0.0424
199,0.0386,0.0417
200,0.0370,0.0432
201,0.0370,0.0425
202,0.0368,0.0412
203,0.0370,0.0415
204,0.0358,0.0422
205,0.0366,0.0409
206,0.0359,0.0419
207,0.0362,0.0418
208,0.0361,0.0407
209,0.0360,0.0423
210,0.0380,0.0414
211,0.0349,0.0416
212,0.0371,0.0437
213,0.0356,0.0405
214,0.0356,0.0421
215,0.0361,0.0409
216,0.0357,0.0420
217,0.0348,0.0414
218,0.0362,0.0412
219,0.0349,0.0405
220,0.0361,0.0409
221,0.0346,0.0400
222,0.0349,0.0404
223,0.0355,0.0419
224,0.0364,0.0423
225,0.0360,0.0393
226,0.0340,0.0400
227,0.0353,0.0415
228,0.0355,0.0409
229,0.0359,0.0413
230,0.0351,0.0392
231,0.0346,0.0403
232,0.0347,0.0402
