epoch,train_loss,valid_loss
1,0.3678,0.2727
2,0.2020,0.2281
3,0.1929,0.2085
4,0.1784,0.1874
5,0.1498,0.1701
6,0.1609,0.1745
7,0.1362,0.1605
8,0.1408,0.1507
9,0.1294,0.1442
10,0.1200,0.1361
11,0.1240,0.1361
12,0.1233,0.1313
13,0.1248,0.1303
14,0.1172,0.1263
15,0.1005,0.1210
16,0.1030,0.1157
17,0.1000,0.1114
18,0.1135,0.1146
19,0.1013,0.1153
20,0.0936,0.1059
21,0.0929,0.1069
22,0.0923,0.1063
23,0.0961,0.1078
24,0.0894,0.1003
25,0.0864,0.1017
26,0.0862,0.0984
27,0.0912,0.1025
28,0.0861,0.0987
29,0.0857,0.0930
30,0.0825,0.1003
31,0.0842,0.0934
32,0.0800,0.0920
33,0.0789,0.0898
34,0.0798,0.0864
35,0.0765,0.0887
36,0.0771,0.0876
37,0.0760,0.0886
38,0.0748,0.0855
39,0.0771,0.0868
40,0.0731,0.0819
41,0.0716,0.0817
42,0.0705,0.0806
43,0.0713,0.0798
44,0.0696,0.0801
45,0.0721,0.0786
46,0.0699,0.0802
47,0.0672,0.0772
48,0.0683,0.0776
49,0.0661,0.0791
50,0.0658,0.0758
51,0.0642,0.0734
52,0.0645,0.0765
53,0.0669,0.0747
54,0.0656,0.0741
55,0.0637,0.0741
56,0.0637,0.0723
57,0.0640,0.0768
58,0.0626,0.0729
59,0.0632,0.0727
60,0.0620,0.0697
61,0.0609,0.0686
62,0.0602,0.0691
63,0.0596,0.0690
64,0.0594,0.0682
65,0.0588,0.0679
66,0.0594,0.0666
67,0.0571,0.0667
68,0.0588,0.0680
69,0.0588,0.0661
70,0.0579,0.0671
71,0.0556,0.0682
72,0.0586,0.0656
73,0.0612,0.0683
74,0.0564,0.0627
75,0.0559,0.0643
76,0.0564,0.0637
77,0.0539,0.0643
78,0.0540,0.0644
79,0.0538,0.0647
80,0.0559,0.0621
81,0.0550,0.0623
82,0.0546,0.0601
83,0.0523,0.0618
84,0.0555,0.0618
85,0.0550,0.0610
86,0.0537,0.0622
87,0.0531,0.0641
88,0.0526,0.0610
89,0.0515,0.0607
90,0.0528,0.0610
91,0.0524,0.0596
92,0.0525,0.0582
93,0.0499,0.0591
94,0.0494,0.0588
95,0.0507,0.0575
96,0.0495,0.0582
97,0.0523,0.0588
98,0.0491,0.0572
99,0.0497,0.0588
100,0.0495,0.0568
101,0.0485,0.0567
102,0.0495,0.0581
103,0.0509,0.0572
104,0.0487,0.0576
105,0.0497,0.0595
106,0.0497,0.0568
107,0.0480,0.0560
108,0.0497,0.0565
109,0.0491,0.0549
110,0.0497,0.0579
111,0.0472,0.0552
112,0.0476,0.0546
113,0.0491,0.0551
114,0.0483,0.0548
115,0.0469,0.0558
116,0.0493,0.0562
117,0.0473,0.0548
118,0.0470,0.0553
119,0.0473,0.0535
120,0.0467,0.0525
121,0.0471,0.0531
122,0.0468,0.0548
123,0.0473,0.0542
124,0.0460,0.0527
125,0.0476,0.0549
126,0.0447,0.0522
127,0.0456,0.0527
128,0.0449,0.0524
129,0.0455,0.0528
130,0.0459,0.0523
131,0.0455,0.0518
132,0.0466,0.0514
133,0.0451,0.0520
134,0.0452,0.0513
135,0.0444,0.0509
136,0.0455,0.0520
137,0.0454,0.0505
138,0.0465,0.0513
139,0.0449,0.0525
140,0.0448,0.0509
141,0.0435,0.0492
142,0.0447,0.0509
143,0.0464,0.0500
144,0.0434,0.0523
145,0.0441,0.0501
146,0.0439,0.0500
147,0.0440,0.0494
148,0.0432,0.0486
149,0.0448,0.0516
150,0.0445,0.0509
151,0.0425,0.0499
152,0.0474,0.0495
153,0.0438,0.0491
154,0.0442,0.0502
155,0.0443,0.0480
156,0.0420,0.0476
157,0.0440,0.0502
158,0.0425,0.0493
159,0.0435,0.0490
160,0.0423,0.0493
161,0.0417,0.0487
162,0.0418,0.0472
163,0.0402,0.0487
164,0.0423,0.0487
165,0.0421,0.0478
166,0.0408,0.0478
167,0.0416,0.0476
168,0.0420,0.0475
169,0.0413,0.0481
170,0.0399,0.0473
171,0.0408,0.0465
172,0.0410,0.0469
173,0.0416,0.0474
174,0.0409,0.0456
175,0.0408,0.0471
176,0.0411,0.0469
177,0.0416,0.0478
178,0.0418,0.0463
179,0.0402,0.0459
180,0.0404,0.0454
181,0.0398,0.0477
182,0.0398,0.0457
183,0.0410,0.0457
184,0.0411,0.0461
185,0.0416,0.0474
186,0.0414,0.0475
187,0.0400,0.0465
188,0.0403,0.0460
189,0.0396,0.0469
190,0.0412,0.0469
191,0.0406,0.0460
192,0.0401,0.0457
193,0.0396,0.0455
194,0.0400,0.0468
195,0.0391,0.0450
196,0.0383,0.0452
197,0.0410,0.0445
198,0.0393,0.0447
199,0.0393,0.0449
200,0.0397,0.0440
201,0.0392,0.0452
202,0.0384,0.0443
203,0.0403,0.0442
204,0.0380,0.0434
205,0.0380,0.0442
206,0.0393,0.0440
207,0.0374,0.0452
208,0.0389,0.0440
209,0.0390,0.0436
210,0.0377,0.0429
211,0.0387,0.0435
212,0.0379,0.0435
213,0.0386,0.0428
214,0.0371,0.0436
215,0.0376,0.0430
216,0.0377,0.0438
217,0.0374,0.0430
218,0.0385,0.0434
219,0.0388,0.0430
220,0.0371,0.0419
221,0.0373,0.0427
222,0.0375,0.0432
223,0.0384,0.0425
224,0.0372,0.0427
225,0.0365,0.0422
226,0.0389,0.0424
227,0.0367,0.0424
228,0.0366,0.0427
229,0.0375,0.0428
230,0.0375,0.0420
231,0.0361,0.0426
232,0.0374,0.0422
233,0.0379,0.0421
234,0.0366,0.0424
235,0.0368,0.0422
