epoch,train_loss,valid_loss
1,1.2330,1.0917
2,0.9770,1.0319
3,0.9590,0.9983
4,0.9710,1.0032
5,0.9358,1.0008
6,0.9303,1.1411
7,0.9323,0.9852
8,0.9280,0.9771
9,0.9229,1.0687
10,0.9157,0.9836
11,0.9245,1.0232
12,0.9049,0.9624
13,0.9083,1.0068
14,0.9059,0.9999
15,0.9187,0.9630
16,0.9074,0.9599
17,0.8985,0.9783
18,0.9058,1.0077
19,0.8957,1.0083
20,0.8974,1.0068
21,0.8946,0.9704
22,0.8940,0.9599
23,0.9079,0.9767
24,0.9010,1.0034
25,0.8929,0.9263
26,0.9025,0.9612
27,0.9072,0.9611
28,0.9023,0.9436
29,0.9081,0.9509
30,0.8927,0.9504
31,0.9043,0.9772
32,0.8942,0.9557
33,0.8989,0.9617
34,0.8973,0.9874
35,0.8962,0.9377
36,0.8826,0.9379
37,0.8925,0.9626
38,0.8947,0.9308
39,0.8931,1.0292
40,0.8970,1.0416
41,0.8932,0.9839
42,0.8887,0.9632
43,0.8965,1.0570
44,0.8824,0.9630
45,0.8913,0.9437
46,0.8877,0.9493
47,0.8872,0.9220
48,0.8924,0.9746
49,0.8925,0.9481
50,0.8939,0.9860
51,0.8886,0.9726
52,0.8894,0.9613
53,0.8894,0.9309
54,0.9005,0.9516
55,0.9139,1.0153
56,0.8875,0.9448
57,0.8956,1.0358
58,0.8897,0.9356
59,0.8922,0.9585
60,0.8896,0.9845
61,0.8908,0.9398
62,0.8957,0.9589
63,0.8965,0.9625
64,0.8878,0.9748
65,0.8942,0.9395
66,0.8738,0.9746
67,0.8866,1.0528
68,0.8888,0.9544
69,0.8951,0.9755
70,0.8820,0.9481
71,0.8864,0.9761
72,0.8864,0.9961
73,0.8892,0.9521
74,0.8886,0.9674
75,0.8808,0.9935
76,0.8824,1.0335
77,0.8936,0.9600
78,0.8898,0.9364
79,0.8892,1.0013
80,0.8917,0.9587
81,0.8929,0.9468
82,0.8885,0.9251
83,0.8879,0.9714
84,0.8790,0.9132
85,0.8812,0.9137
